Name,Symbol,Last Price,Last Price_Currency,Today's price Change - %,Volume,Chart,1-Year Trailing Total Return
Premier Miton Group PLC,PMI:LSE,44.5,GBX,-1.1111111111111112,919194,--,n/a
Primary Health Properties PLC,PHP:LSE,107.2,GBX,-0.46425255338904364,5687331,--,n/a
Proservice Building Services Marketplace PLC,PRO:LSE,7.6000000000000005,GBX,5.5555555555555607,111883,--,n/a
PYX Resources Ltd,PYX:LSE,0.24,GBX,-7.6923076923076987,13414867,--,n/a
PZ Cussons Plc,PZC:LSE,88.600000000000009,GBX,0.91116173120730226,919561,--,n/a
R&Q Insurance Holdings Ltd *,RQIH:LSE,0.075,GBX,0,0,--,n/a
Ramsdens Holdings PLC,RFX:LSE,425,GBX,1.1904761904761905,25396,--,n/a
Real Estate Credit Investments Limited,RECI:LSE,128,GBX,0.39215686274509803,140319,--,n/a
Real Estate Investors PLC,RLE:LSE,31.400000000000002,GBX,1.1314374773250004E-14,221597,--,n/a
Regional REIT Ltd,RGL:LSE,101.4,GBX,-0.58823529411764153,455213,--,n/a
Residential Secure Income plc,RESI:LSE,55.6,GBX,0.36101083032491488,189842,--,n/a
Rio Tinto PLC,RIO:LSE,7122,GBX,0.056195560550716492,2660189,--,n/a
River Global PLC,RVRG:LSE,3.875,GBX,0,181337,--,n/a
River Global PLC,RVRB:LSE,38,GBX,0,107589,--,n/a
Robert Walters PLC,RWA:LSE,125,GBX,0.80645161290322576,36665,--,n/a
RTW Biotech Opportunities Ltd,RTW:LSE,2.1,USD,1.4492753623188528,324001,--,n/a
RWS Holdings PLC,RWS:LSE,76.2,GBX,1.4647137150466161,976142,--,n/a
Schroder European Real Estate Inv Trust,SERE:LSE,64.4,GBX,0,85724,--,n/a
Schroder Real Estate Investment Trust,SREI:LSE,54.7,GBX,1.2962962962963016,1236597,--,n/a
Schroders PLC,SDR:LSE,586,GBX,0,7250812,--,n/a
SDCL Efficiency Income Trust plc.,SEIT:LSE,47.5,GBX,0.635593220338977,2840361,--,n/a
SDI Group PLC,SDI:LSE,81.5,GBX,-0.6097560975609756,342715,--,n/a
Seeing Machines Ltd,SEE:LSE,3.63,GBX,6.4516129032257989,12940973,--,n/a
Sequoia Economic Infrastructure Inc Ord,SEQI:LSE,82,GBX,-0.12180267965894558,1430321,--,n/a
Serica Energy PLC,SQZ:LSE,231,GBX,-1.2820512820512822,1080304,--,n/a
Severfield PLC,SFR:LSE,30.700000000000003,GBX,-1.2861736334405098,219141,--,n/a
Shearwater Group PLC,SWG:LSE,46.5,GBX,1.0869565217391304,50610,--,n/a
Somero Enterprises Inc,SOM:LSE,215,GBX,0,100100,--,n/a
Spire Healthcare Group PLC,SPI:LSE,200,GBX,0,1033196,--,n/a
Springfield Properties PLC,SPR:LSE,130.5,GBX,0.38461538461538464,35064,--,n/a
Sprott Uranium Miners UCITS ETF Accumulating,URNP:LSE:GBX,1297.6000000000001,GBX,0.74534161490684292,37863,--,n/a
Star Energy Group PLC,STAR:LSE,14,GBX,7.6923076923076925,1196427,--,n/a
SThree PLC,STEM:LSE,172.4,GBX,-0.4618937644341703,179759,--,n/a
STV Group PLC,STVG:LSE,113,GBX,-1.7391304347826086,67847,--,n/a
Syncona Limited,SYNC:LSE,99,GBX,0,79593,--,n/a
Taylor Wimpey PLC,TW.:LSE,114.95,GBX,0.17429193899782383,12614286,--,n/a
Technology Minerals PLC,TM1:LSE,0.090000000000000011,GBX,0,0,--,n/a
The Biotech Growth Trust PLC,BIOG:LSE,1255,GBX,0.80321285140562249,94945,--,n/a
The Renewables Infrastructure Group Limited,TRIG:LSE,65,GBX,0.46367851622874368,9653075,--,n/a
Totally PLC *,TLY:LSE,0.24,GBX,0,653381,--,n/a
TP ICAP Group PLC,TCAP:LSE,265,GBX,1.9230769230769231,1507932,--,n/a
TR Property Investment Trust,TRY:LSE,351,GBX,0.42918454935622319,732853,--,n/a
Tracsis PLC,TRCS:LSE,320,GBX,0,30756,--,n/a
Tritax Big Box REIT Plc,BBOX:LSE,173,GBX,1.5854374633000519,4961435,--,n/a
TruFin PLC,TRU:LSE,126,GBX,0.398406374501992,1851980,--,n/a
Unite Group PLC,UTG:LSE,580.5,GBX,0.17256255392579811,3553811,--,n/a
Value and Indexed Property Income Trust PLC,VIP:LSE,201.75,GBX,-2.063106796116505,10563,--,n/a
VanEck Rare Earth and Strategic Metals UCITS ETF A USD Acc,REGB:LSE:GBP,12.92,GBP,-0.26246719160105525,95489,--,n/a
Velocys PLC *,VLS:LSE,0.2725,GBX,0,0,--,n/a
Vesuvius plc,VSVS:LSE,490.20000000000005,GBX,1.8703241895261964,114293,--,n/a
Victrex PLC,VCT:LSE,690,GBX,2.0710059171597632,122855,--,n/a
Vodafone Group PLC,VOD:LSE,115.5,GBX,0.043308791684709531,55923541,--,n/a
Volex PLC,VLX:LSE,489.5,GBX,1.2409513960703207,674186,--,n/a
VP PLC,VP.:LSE,490.5,GBX,1.0298661174047374,3593,--,n/a
VPC Specialty Lending Investments PLC Ord,VSL:LSE,13.575000000000001,GBX,0.55555555555556346,37295,--,n/a
Watkin Jones PLC,WJG:LSE,30.8,GBX,0.65359477124182774,1942107,--,n/a
Wickes Group PLC,WIX:LSE,246.5,GBX,-1.0040160642570282,386425,--,n/a
Workspace Group PLC,WKP:LSE,420.5,GBX,0.96038415366146457,282184,--,n/a
Wynnstay Group PLC,WYN:LSE,390,GBX,0,10486,--,n/a
ZIGUP PLC,ZIG:LSE,399.5,GBX,0.50314465408805031,288319,--,n/a

